Data::Dumper::BEGIN@23	href=Data-Dumper-pm-6-line.html#23
AOC::Utils::CORE:readline	href=AOC-Utils-pm-5-line.html#AOC__Utils__CORE_readline
Time::Local::CORE:pack	href=Time-Local-pm-34-line.html#Time__Local__CORE_pack
AOC::Math::__ANON__[/home/mozes_magyar/lib/AOC/Math.pm:66]	href=AOC-Math-pm-48-line.html#60
Storable::CORE:qr	href=Storable-pm-23-line.html#Storable__CORE_qr
HTTP::Status::CORE:subst	href=HTTP-Status-pm-31-line.html#HTTP__Status__CORE_subst
Data::Dumper::BEGIN@763	href=Data-Dumper-pm-6-line.html#763
Exporter::CORE:match	href=Exporter-pm-15-line.html#Exporter__CORE_match
LWP::Protocol::BEGIN@61	href=LWP-Protocol-pm-37-line.html#61
vars::BEGIN@8	href=vars-pm-46-line.html#8
AOC::Base::BEGIN@10	href=AOC-Base-pm-4-line.html#10
constant::import	href=constant-pm-7-line.html#55
Exporter::Heavy::BEGIN@4	href=Exporter-Heavy-pm-25-line.html#4
main::solveTwo	href=solve-pl-1-line.html#267
AOC::Utils::BEGIN@10	href=AOC-Utils-pm-5-line.html#10
AOC::Utils::__ANON__	href=AOC-Utils-pm-5-line.html#AOC__Utils____ANON__
Try::Tiny::BEGIN@16	href=Try-Tiny-pm-38-line.html#16
Time::Local::BEGIN@28	href=Time-Local-pm-34-line.html#28
URI::BEGIN@22	href=URI-pm-27-line.html#22
main::BEGIN@6	href=solve-pl-1-line.html#6
AOC::Math::BEGIN@4	href=AOC-Math-pm-48-line.html#4
Exporter::Heavy::heavy_export	href=Exporter-Heavy-pm-25-line.html#39
LWP::UserAgent::BEGIN@13	href=LWP-UserAgent-pm-17-line.html#13
base::CORE:match	href=base-pm-18-line.html#base__CORE_match
overload::BEGIN@112	href=overload-pm-29-line.html#112
main::__ANON__[./solve.pl:279]	href=solve-pl-1-line.html#271
AOC::Base::main	href=AOC-Base-pm-4-line.html#20
AOC::Utils::BEGIN@4	href=AOC-Utils-pm-5-line.html#4
strict::bits	href=strict-pm-3-line.html#40
Sub::Util::BEGIN@8	href=Sub-Util-pm-39-line.html#8
constant::BEGIN@3	href=constant-pm-7-line.html#3
LWP::Protocol::BEGIN@11	href=LWP-Protocol-pm-37-line.html#11
HTML::Entities::BEGIN@138	href=HTML-Entities-pm-47-line.html#138
warnings::register_categories	href=warnings-pm-2-line.html#491
HTTP::Status::BEGIN@3	href=HTTP-Status-pm-31-line.html#3
HTML::Parser::BEGIN@4	href=HTML-Parser-pm-45-line.html#4
main::neighbours	href=solve-pl-1-line.html#13
main::solve	href=solve-pl-1-line.html#197
URI::Escape::BEGIN@140	href=URI-Escape-pm-28-line.html#140
utf8::encode	href=solve-pl-1-line.html#utf8__encode
vars::BEGIN@7	href=vars-pm-46-line.html#7
strict::BEGIN@7	href=strict-pm-3-line.html#7
vars::BEGIN@3	href=vars-pm-46-line.html#3
constant::CORE:subst	href=constant-pm-7-line.html#constant__CORE_subst
URI::Escape::BEGIN@146	href=URI-Escape-pm-28-line.html#146
HTML::Parser::BEGIN@3	href=HTML-Parser-pm-45-line.html#3
HTTP::Status::BEGIN@4	href=HTTP-Status-pm-31-line.html#4
LWP::UserAgent::BEGIN@10	href=LWP-UserAgent-pm-17-line.html#10
Internals::SvREADONLY	href=solve-pl-1-line.html#Internals__SvREADONLY
main::compare	href=solve-pl-1-line.html#64
Data::Dumper::BEGIN@25	href=Data-Dumper-pm-6-line.html#25
List::Util::BEGIN@31	href=List-Util-pm-41-line.html#31
Exporter::export	href=Exporter-pm-15-line.html#24
AOC::Utils::BEGIN@290	href=AOC-Utils-pm-5-line.html#290
overload::BEGIN@142	href=overload-pm-29-line.html#142
Carp::BEGIN@1	href=(eval 3)[Carp-pm-171]-13-line.html#1
AOC::Base::BEGIN@4	href=AOC-Base-pm-4-line.html#4
base::has_fields	href=base-pm-18-line.html#24
constant::BEGIN@65	href=constant-pm-7-line.html#65
UNIVERSAL::VERSION	href=solve-pl-1-line.html#UNIVERSAL__VERSION
Carp::BEGIN@188	href=Carp-pm-9-line.html#188
overload::BEGIN@81	href=overload-pm-29-line.html#81
Carp::BEGIN@730	href=Carp-pm-9-line.html#730
constant::BEGIN@90	href=constant-pm-7-line.html#90
LWP::UserAgent::BEGIN@16	href=LWP-UserAgent-pm-17-line.html#16
overload::OVERLOAD	href=overload-pm-29-line.html#28
HTTP::Status::BEGIN@10	href=HTTP-Status-pm-31-line.html#10
HTTP::Response::BEGIN@3	href=HTTP-Response-pm-30-line.html#3
mro::method_changed_in	href=solve-pl-1-line.html#mro__method_changed_in
Time::Local::BEGIN@5	href=Time-Local-pm-34-line.html#5
URI::Escape::BEGIN@4	href=URI-Escape-pm-28-line.html#4
Try::Tiny::BEGIN@10	href=Try-Tiny-pm-38-line.html#10
Time::Local::BEGIN@6	href=Time-Local-pm-34-line.html#6
constant::BEGIN@141	href=constant-pm-7-line.html#141
constant::BEGIN@2	href=constant-pm-7-line.html#2
AOC::Utils::BEGIN@3	href=AOC-Utils-pm-5-line.html#3
Carp::BEGIN@256	href=Carp-pm-9-line.html#256
Carp::BEGIN@744	href=Carp-pm-9-line.html#744
Time::Local::BEGIN@30	href=Time-Local-pm-34-line.html#30
Carp::BEGIN@5	href=Carp-pm-9-line.html#5
Carp::BEGIN@6	href=Carp-pm-9-line.html#6
HTML::Entities::BEGIN@140	href=HTML-Entities-pm-47-line.html#140
HTTP::Headers::BEGIN@4	href=HTTP-Headers-pm-22-line.html#4
HTTP::Request::BEGIN@8	href=HTTP-Request-pm-20-line.html#8
strict::CORE:match	href=strict-pm-3-line.html#strict__CORE_match
vars::import	href=vars-pm-46-line.html#10
main::__ANON__[./solve.pl:214]	href=solve-pl-1-line.html#211
Carp::BEGIN@169	href=Carp-pm-9-line.html#169
overload::import	href=overload-pm-29-line.html#53
AOC::Utils::reduce	href=AOC-Utils-pm-5-line.html#102
Exporter::Heavy::BEGIN@3	href=Exporter-Heavy-pm-25-line.html#3
Try::Tiny::BEGIN@2	href=Try-Tiny-pm-38-line.html#2
Carp::BEGIN@296	href=Carp-pm-9-line.html#296
Exporter::Heavy::BEGIN@202	href=Exporter-Heavy-pm-25-line.html#202
HTTP::Status::CORE:match	href=HTTP-Status-pm-31-line.html#HTTP__Status__CORE_match
LWP::Protocol::BEGIN@3	href=LWP-Protocol-pm-37-line.html#3
URI::Escape::BEGIN@3	href=URI-Escape-pm-28-line.html#3
URI::BEGIN@24	href=URI-pm-27-line.html#24
constant::BEGIN@40	href=constant-pm-7-line.html#40
LWP::UserAgent::BEGIN@5	href=LWP-UserAgent-pm-17-line.html#5
Sub::Util::BEGIN@7	href=Sub-Util-pm-39-line.html#7
Exporter::Heavy::CORE:match	href=Exporter-Heavy-pm-25-line.html#Exporter__Heavy__CORE_match
parent::import	href=parent-pm-35-line.html#6
AOC::Math::reduce	href=AOC-Math-pm-48-line.html#28
base::CORE:subst	href=base-pm-18-line.html#base__CORE_subst
Carp::BEGIN@95	href=Carp-pm-9-line.html#95
AOC::Utils::BEGIN@9	href=AOC-Utils-pm-5-line.html#9
Time::Local::BEGIN@29	href=Time-Local-pm-34-line.html#29
AOC::Base::CORE:print	href=AOC-Base-pm-4-line.html#AOC__Base__CORE_print
warnings::CORE:match	href=warnings-pm-2-line.html#warnings__CORE_match
Data::Dumper::CORE:qr	href=Data-Dumper-pm-6-line.html#Data__Dumper__CORE_qr
LWP::UserAgent::BEGIN@8	href=LWP-UserAgent-pm-17-line.html#8
AOC::Utils::BEGIN@8	href=AOC-Utils-pm-5-line.html#8
HTTP::Date::BEGIN@3	href=HTTP-Date-pm-33-line.html#3
AOC::Utils::slurp	href=AOC-Utils-pm-5-line.html#47
LWP::UserAgent::BEGIN@15	href=LWP-UserAgent-pm-17-line.html#15
main::BEGIN@10	href=solve-pl-1-line.html#10
LWP::UserAgent::BEGIN@12	href=LWP-UserAgent-pm-17-line.html#12
HTTP::Headers::BEGIN@3	href=HTTP-Headers-pm-22-line.html#3
parent::BEGIN@21	href=parent-pm-35-line.html#21
LWP::Protocol::BEGIN@9	href=LWP-Protocol-pm-37-line.html#9
XSLoader::load	href=XSLoader-pm-49-line.html#18
Carp::BEGIN@73	href=Carp-pm-9-line.html#73
HTTP::Headers::BEGIN@8	href=HTTP-Headers-pm-22-line.html#8
Storable::BEGIN@64	href=Storable-pm-23-line.html#64
HTTP::Request::BEGIN@4	href=HTTP-Request-pm-20-line.html#4
Try::Tiny::BEGIN@8	href=Try-Tiny-pm-38-line.html#8
main::binsearch	href=solve-pl-1-line.html#161
Time::Local::BEGIN@10	href=Time-Local-pm-34-line.html#10
main::BEGIN@7	href=solve-pl-1-line.html#7
LWP::Protocol::BEGIN@10	href=LWP-Protocol-pm-37-line.html#10
main::BEGIN@3	href=solve-pl-1-line.html#3
Scalar::Util::BEGIN@9	href=Scalar-Util-pm-43-line.html#9
AOC::Math::BEGIN@3	href=AOC-Math-pm-48-line.html#3
main::BEGIN@4	href=solve-pl-1-line.html#4
URI::BEGIN@129	href=URI-pm-27-line.html#129
constant::CORE:match	href=constant-pm-7-line.html#constant__CORE_match
List::Util::BEGIN@10	href=List-Util-pm-41-line.html#10
HTTP::Response::BEGIN@10	href=HTTP-Response-pm-30-line.html#10
Try::Tiny::BEGIN@13	href=Try-Tiny-pm-38-line.html#13
Exporter::Heavy::CORE:subst	href=Exporter-Heavy-pm-25-line.html#Exporter__Heavy__CORE_subst
Data::Dumper::BEGIN@18	href=Data-Dumper-pm-6-line.html#18
warnings::register::import	href=warnings-register-pm-8-line.html#18
Exporter::import	href=Exporter-pm-15-line.html#28
warnings::_expand_bits	href=warnings-pm-2-line.html#277
base::import	href=base-pm-18-line.html#80
strict::unimport	href=strict-pm-3-line.html#65
warnings::_mkMask	href=warnings-pm-2-line.html#482
overloading::BEGIN@2	href=overloading-pm-12-line.html#2
LWP::UserAgent::BEGIN@3	href=LWP-UserAgent-pm-17-line.html#3
HTTP::Message::BEGIN@3	href=HTTP-Message-pm-21-line.html#3
base::has_attr	href=base-pm-18-line.html#30
Carp::BEGIN@137	href=Carp-pm-9-line.html#137
LWP::UserAgent::BEGIN@395	href=LWP-UserAgent-pm-17-line.html#395
LWP::Protocol::BEGIN@8	href=LWP-Protocol-pm-37-line.html#8
AOC::Base::BEGIN@3	href=AOC-Base-pm-4-line.html#3
main::BEGIN@8	href=solve-pl-1-line.html#8
Carp::BEGIN@751	href=Carp-pm-9-line.html#751
parent::BEGIN@2	href=parent-pm-35-line.html#2
parent::CORE:subst	href=parent-pm-35-line.html#parent__CORE_subst
HTTP::Message::BEGIN@4	href=HTTP-Message-pm-21-line.html#4
LWP::UserAgent::BEGIN@1	href=base-pm-18-line.html#1
warnings::_bits	href=warnings-pm-2-line.html#296
HTTP::Request::BEGIN@3	href=HTTP-Request-pm-20-line.html#3
URI::BEGIN@21	href=URI-pm-27-line.html#21
AOC::Math::max	href=AOC-Math-pm-48-line.html#72
UNIVERSAL::isa	href=solve-pl-1-line.html#UNIVERSAL__isa
constant::CORE:qr	href=constant-pm-7-line.html#constant__CORE_qr
URI::BEGIN@3	href=URI-pm-27-line.html#3
Scalar::Util::BEGIN@10	href=Scalar-Util-pm-43-line.html#10
Exporter::CORE:subst	href=Exporter-pm-15-line.html#Exporter__CORE_subst
Fcntl::BEGIN@58	href=Fcntl-pm-24-line.html#58
